,id,days,mature,views,partner,new_id,username
0,73045350,1459,False,9528,False,2299,CaptainTeabeard
1,61573865,1629,True,3615,False,153,AwakenedOne
2,171688860,411,True,46546,False,397,CharlotteSomething
3,117338954,953,True,5863,False,5623,Mizumomo
4,135804217,741,True,5594,False,5875,onewithtehforce
5,50273956,1820,False,4594,False,3346,Aletdownofstate
6,40189534,2070,False,18460,False,6930,SkittlesRandom
7,126853728,846,True,204,False,6367,ShadowScissors_
8,118869338,936,True,1064,False,1434,lemonlimepickle
9,115599547,973,False,313084,False,4470,S1MPAGG
10,94973589,1198,False,791,False,5122,---
11,113241013,993,True,364,False,4790,TheStoneJester
12,119663818,931,True,3994,False,4919,GetUpAndGoGamer
13,81085785,1354,False,3956,False,575,Maxiee_
14,55592461,1720,False,2833,False,639,Kaaaaarl
15,64700169,1573,True,16054,False,7012,Endless_Nerd
16,36174401,2219,False,3950,False,6445,JitsuLeon
17,38079222,2142,True,89458,True,1170,Thunderkitten
18,13233251,3039,True,115054,False,326,Hypermole
19,59321650,1664,False,657,False,4956,Gazzaofwar
20,63652371,1591,True,29158,False,2639,DigitalBaconGaming
21,177106387,368,True,25085,False,5028,ReefJames
22,106526921,1069,True,8917,False,6277,scn1sla
23,41418023,2035,True,3011,False,6784,hurricanesteve
24,154501248,535,True,8482,False,49,DakEJP
25,73421195,1450,False,95722,False,4526,PixelJunkGames
26,55682420,1718,False,3930,False,4108,Acapellaguitarist
27,27953914,2441,False,9733,False,1171,minigolf2000
28,51992513,1784,False,4828,False,2568,Fuzzfinger
29,96302101,1179,True,10775,False,5731,LukeTheDukeUK
30,139120746,702,True,21793,False,1760,aTeacupGamer
31,26770546,2495,True,574,False,6707,rorytha
32,44946167,1938,False,11980,False,2019,Callum_Amos
33,46597630,1895,True,770,False,634,SK_LilTruper
34,25651842,2492,True,1568,False,4670,GTDGamer
35,51730005,1790,True,31841,False,2399,LottyTheCat
36,60961830,1638,False,261,False,5737,WarlordSte
37,70524636,1500,False,18318,False,6974,AuzzieDonkey
38,37699144,2158,False,1607,False,6919,monstermouse
39,137265740,725,True,1725,False,240,HylianSiren
40,50590583,1814,False,1639,False,5646,PasticheOfSkin
41,46373336,1910,True,3315,False,158,AzumiAzura
42,187385098,289,True,2733,False,3298,mayhem_girl_2k
43,38904740,2106,False,1294,False,2354,SmokinAces48
44,141462246,673,False,14678,False,1161,Jadecalyx
45,45846901,1921,True,488224,True,1869,meganyy
46,126378005,853,True,8138,False,3499,RetroBecky
47,101102471,1138,False,3403,False,5655,JohnSReid
48,119664707,924,True,758,False,5295,Goldup
49,28588067,2385,True,859,False,6468,Katari_91
50,40297287,2063,False,3221,False,3872,Claw_Uitra
51,45396907,1931,False,212170,True,5676,Havian
52,153231390,547,False,2264,False,72,slomoassassin
53,30934283,2313,False,1224,False,544,Jay_JJ81
54,130705044,804,True,5573,False,4228,WoodyOS
55,44193440,1959,True,3420,False,2430,bungeellama
56,76748966,1405,False,106623,False,2677,Crrool
57,27788634,2447,True,798,False,576,andykod77
58,30796517,2315,False,8926,False,5986,Raisus
59,158523868,498,False,759,False,3707,---
60,55576507,1712,True,2759,False,809,illage6
61,46839359,1899,False,1458,False,593,Chainsawnicorn
62,198743760,224,True,1178,False,2456,ItsHuxxy
63,113655358,993,False,1572,False,6911,missy_blackhood
64,38182598,2139,True,10500,False,3362,coreRoss
65,183599062,310,True,1975,False,7101,Waidcast
66,97910651,1168,True,6442,False,7060,ReformedPingu
67,28230732,2406,False,6599,False,6080,BrokeAssLarry
68,159806569,489,True,9063,False,5771,Sue_Wood
69,130741145,806,False,21768,False,5914,Famzies
70,74956100,1431,True,16987,False,6794,Miss_Murder
71,45653700,1892,True,447,False,3361,KryptonSurfer
72,27204176,2469,True,899,False,3260,spawnforce
73,53706043,1754,True,7496,False,936,StrifeHD
74,162259716,466,False,4223,False,3837,FFruitty
75,26065098,2439,True,1345,False,2233,TadDekker
76,39528871,2091,False,127832,False,4568,CGJoe
77,30760903,2302,True,494,False,3468,warbeard85
78,41759342,2025,False,22502,False,5540,Speedislife
79,52410632,1751,True,599,False,6304,Teddy363
80,126213661,828,True,449,False,3284,vanderson_60hz
81,986316,3735,False,8278,False,1376,Babblestorm
82,52406992,1774,True,56645,False,4702,CandyExplosives
83,98115351,1160,True,1837,False,6480,Atreaus
84,112671989,1003,True,10975,False,5021,Xeldena
85,46251236,1912,True,40349,False,6756,AviusL
86,107155092,1057,True,25515,False,2533,ImPiiink
87,133461737,768,True,3105,False,6062,PraetorianBen
88,24606188,2578,False,1509,False,5956,JimboSpike
89,55768163,1717,True,311606,True,5768,Snedger
90,142135109,663,True,9416,False,1636,kva7
91,90967590,1246,True,8299,False,1524,plightodragul
92,136137957,737,True,704,False,1385,TheLenzSeesAll
93,24641838,2591,True,3306,False,119,DanielAmesYT
94,82483683,1338,True,6897,False,3213,Venomous_Blaze
95,25389284,2555,True,10240,False,4487,KikiChan94
96,30904326,2327,False,17408,False,839,Moofle
97,41367478,2037,True,22721,False,6165,GeekEtiquette
98,42470081,2007,False,4732,False,1150,nartaan
99,104269486,1096,True,15826,False,701,KingVariety
100,61149392,1638,False,6493,False,1794,Vulas
101,142615676,654,True,379,False,3998,Lucian_V_Ghost
102,151661794,564,False,178,False,4923,LaVorBoll
103,82429193,1339,True,10528,False,542,jackfortyfour
104,57851805,1688,False,3677,False,7074,Im_Yabs
105,42526575,2004,True,36040,False,4315,008kool2
106,48677453,1861,True,110677,False,1481,KierzOfWar
107,65191114,1562,False,12084,False,5915,owenr
108,135579899,744,True,17101,False,948,VattHammer
109,73631643,1436,False,8645,False,799,commander_riker
110,92666584,1226,True,10316,False,6513,NotAHappyRobot
111,43664324,1973,True,57649,False,413,CptJuicy
112,30941898,2310,True,886,False,3811,DeeEmmSee
113,26869615,2489,False,104481,False,7055,Thextera_
114,53481968,1749,True,1950,False,1923,c0rpsgr1nder
115,61403410,1634,True,3904,False,5383,TheMysticScythe
116,56480230,1688,True,2054,False,1920,1cecoldtv
117,182558872,322,False,2157,False,3555,MeerKat2177
118,42745283,1999,False,4014190,False,6861,Bizzleberry
119,135795112,739,True,438,False,1893,timestream_
120,41229739,2040,True,82304,False,5490,Kuberous
121,128508995,823,False,2187,False,3977,jakz0rz
122,145755693,612,True,1227,False,2265,mcl_86d
123,39601744,2088,True,17570,False,661,Kernas76
124,133638293,752,True,8453,False,4449,WeeNatty
125,77164009,1398,False,61009,False,5038,JohnPee
126,170982552,414,False,107,False,6720,JipsEPringles
127,74424814,1398,True,1079,False,3714,Jonesy959
128,48693886,1858,False,1094,False,260,PJinxed
129,91580306,1240,False,1400701,True,4330,Capn_Flint
130,45900828,1918,False,8041,False,3957,CrimsonSun
131,158486415,499,True,153891,False,1664,NomadPoncho
132,40114747,2073,False,3090544,True,3209,Ming
133,36107599,2222,True,7036,False,5888,haddz
134,59348682,1655,True,880,False,2453,DanYouAllToHell
135,52687879,1770,False,11545,False,5720,MacBoyPro_
136,67338349,1539,False,2279,False,38,MarquesTwitch
137,41235194,2023,False,18299,False,5594,void03
138,83814565,1323,True,841,False,4460,daveyblur
139,45346102,1931,True,2477,False,4958,RiverMan81
140,201638075,218,True,800,False,77,notbeastlygrizzler
141,117449214,954,True,13295,False,6752,LoopyLolly
142,72679038,1371,True,996,False,6945,MrLippo1
